fips,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,trump_margin,foreign_pop,state_abbr_new,county_new,foreign_pop_09,name_matches,found_diff
2013,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Aleutians East Borough,8.372274143,0,AK,Aleutians East Borough,56.6,Good,0
2016,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Aleutians West Census Area,8.372274143,0,AK,Aleutians West Census Area,34.9,Good,0
2020,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Anchorage Municipality,8.372274143,11.1,AK,Anchorage Municipality,9.4,Good,0.1531531532
2050,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Bethel Census Area,8.372274143,0,AK,Bethel Census Area,1.2,Good,0
2060,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Bristol Bay Borough,8.372274143,0,AK,Bristol Bay Borough,0.6,Good,0
2068,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Denali Borough,8.372274143,0,AK,Denali Borough,7.4,Good,0
2070,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Dillingham Census Area,8.372274143,0,AK,Dillingham Census Area,1.5,Good,0
2090,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Fairbanks North Star Borough,8.372274143,5.2,AK,Fairbanks North Star Borough,5.7,Good,0.09615384615
2100,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Haines Borough,8.372274143,0,AK,Haines Borough,5,Good,0
2105,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Hoonah-Angoon Census Area,8.372274143,0,AK,Hoonah-Angoon Census Area,3,Good,0
2110,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Juneau City and Borough,8.372274143,0,AK,Juneau City and Borough,6.5,Good,0
2122,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Kenai Peninsula Borough,8.372274143,0,AK,Kenai Peninsula Borough,2.6,Good,0
2130,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Ketchikan Gateway Borough,8.372274143,0,AK,Ketchikan Gateway Borough,7.3,Good,0
2150,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Kodiak Island Borough,8.372274143,0,AK,Kodiak Island Borough,14.2,Good,0
2158,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Lake and Peninsula Borough,8.372274143,0,AK,Lake and Peninsula Borough,1.7,Good,0
2164,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Matanuska-Susitna Borough,8.372274143,0,AK,Matanuska-Susitna Borough,3.4,Good,0
2170,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Nome Census Area,8.372274143,2.7,AK,Nome Census Area,1.4,Good,0.4814814815
2180,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,North Slope Borough,8.372274143,0,AK,North Slope Borough,5.3,Good,0
2185,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Northwest Arctic Borough,8.372274143,0,AK,Northwest Arctic Borough,1.2,Good,0
2188,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Petersburg Census Area,8.372274143,0,AK,Petersburg Census Area,4.6,Good,0
2195,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Prince of Wales-Hyder Census Area,8.372274143,0,AK,Prince of Wales-Hyder Census Area,1.4,Good,0
2198,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Sitka City and Borough,8.372274143,0,AK,Sitka City and Borough,7.7,Good,0
2220,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Skagway Municipality,8.372274143,0,AK,Skagway Municipality,8.9,Good,0
2230,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Southeast Fairbanks Census Area,8.372274143,0,AK,Southeast Fairbanks Census Area,9.1,Good,0
2240,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Valdez-Cordova Census Area,8.372274143,0,AK,Valdez-Cordova Census Area,4.6,Good,0
2261,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Wade Hampton Census Area,8.372274143,0,AK,Wade Hampton Census Area,0.6,Good,0
2275,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Wrangell City and Borough,8.372274143,0,AK,Wrangell City and Borough,2.8,Good,0
2282,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Yakutat City and Borough,8.372274143,0,AK,Yakutat City and Borough,5.9,Good,0
2290,93003,130413,246588,0.3771594725,0.528870018,37410,15.17%,AK,Yukon-Koyukuk Census Area,8.372274143,0,AK,Yukon-Koyukuk Census Area,1.1,Good,0
1001,5908,18110,24661,0.2395685495,0.734357893,12202,49.48%,AL,Autauga County,25.401782,0,AL,Autauga,1.6,Good,0
1003,18409,72780,94090,0.1956530981,0.7735147199,54371,57.79%,AL,Baldwin County,29.81225806,2.5,AL,Baldwin,3.6,Good,0.44
1005,4848,5431,10390,0.4666025024,0.5227141482,583,5.61%,AL,Barbour County,2.835878977,0,AL,Barbour,2.9,Good,0
1007,1874,6733,8748,0.2142203932,0.7696616369,4859,55.54%,AL,Bibb County,28.22702451,0,AL,Bibb,1.2,Good,0
1009,2150,22808,25384,0.08469902301,0.898518752,20658,81.38%,AL,Blount County,41.38552769,0,AL,Blount,4.3,Good,0
1011,3530,1139,4701,0.750904063,0.2422888747,2391,50.86%,AL,Bullock County,-25.60505462,0,AL,Bullock,5.4,Good,0
1013,3716,4891,8685,0.4278641336,0.5631548647,1175,13.53%,AL,Butler County,6.825839433,0,AL,Butler,0.8,Good,0
1015,13197,32803,47376,0.2785587639,0.6923969943,19606,41.38%,AL,Calhoun County,21.31086957,2.9,AL,Calhoun,2.4,Good,0.1724137931
1017,5763,7803,13778,0.4182755117,0.5663376397,2040,14.81%,AL,Chambers County,7.518796992,0,AL,Chambers,1.1,Good,0
1019,1524,8809,10503,0.1451013996,0.8387127487,7285,69.36%,AL,Cherokee County,35.25113713,0,AL,Cherokee,0.7,Good,0
1021,2909,15068,18255,0.1593536018,0.8254176938,12159,66.61%,AL,Chilton County,33.81821216,0,AL,Chilton,5.2,Good,0
1023,3109,4102,7268,0.4277655476,0.5643918547,993,13.66%,AL,Choctaw County,6.885314103,0,AL,Choctaw,0.3,Good,0
1025,5712,7109,12936,0.4415584416,0.5495516388,1397,10.80%,AL,Clarke County,5.448092972,0,AL,Clarke,0.3,Good,0
1027,1234,5230,6572,0.1877662812,0.7958003652,3996,60.80%,AL,Clay County,30.90965347,0,AL,Clay,2.2,Good,0
1029,684,5738,6532,0.104715248,0.8784445805,5054,77.37%,AL,Cleburne County,39.34911243,0,AL,Cleburne,1.5,Good,0
1031,4194,15825,20513,0.204455711,0.7714619997,11631,56.70%,AL,Coffee County,29.04990259,0,AL,Coffee,5.1,Good,0
1033,7296,16718,24626,0.2962722326,0.6788759847,9422,38.26%,AL,Colbert County,19.61772299,0,AL,Colbert,2,Good,0
1035,3069,3413,6543,0.4690508941,0.5216261654,344,5.26%,AL,Conecuh County,2.653502006,0,AL,Conecuh,0.6,Good,0
1037,1780,3376,5223,0.3408003063,0.646371817,1596,30.56%,AL,Coosa County,15.47711404,0,AL,Coosa,1.8,Good,0
1039,2379,13222,15818,0.1503982804,0.8358831711,10843,68.55%,AL,Covington County,34.7509775,0,AL,Covington,1.4,Good,0
1041,1663,4511,6252,0.2659948816,0.7215291107,2848,45.55%,AL,Crenshaw County,23.06446388,0,AL,Crenshaw,2.3,Good,0
1043,3730,32734,37278,0.100059016,0.8781050486,29004,77.80%,AL,Cullman County,39.77073278,2.6,AL,Cullman,3,Good,0.1538461538
1045,4408,13798,18617,0.236772842,0.7411505613,9390,50.44%,AL,Dale County,25.78820169,0,AL,Dale,3.7,Good,0
1047,12826,5784,18730,0.6847837694,0.3088093967,7042,37.60%,AL,Dallas County,-18.91993552,0,AL,Dallas,0.8,Good,0
1049,3682,21779,26086,0.1411485088,0.8348922794,18097,69.37%,AL,DeKalb County,35.53866698,7.8,AL,DeKalb,7.5,Good,0.03846153846
1051,8436,27619,36905,0.2285869123,0.7483809782,19183,51.98%,AL,Elmore County,26.60241298,2.5,AL,Elmore,2.1,Good,0.16
1053,4698,10282,15213,0.3088148294,0.6758693223,5584,36.71%,AL,Escambia County,18.63818425,0,AL,Escambia,0.6,Good,0
1055,10350,32132,43474,0.2380733312,0.7391084326,21782,50.10%,AL,Etowah County,25.63674027,2.4,AL,Etowah,2.2,Good,0.08333333333
1057,1358,6705,8196,0.1656905808,0.8180819912,5347,65.24%,AL,Fayette County,33.15763364,0,AL,Fayette,0.6,Good,0
1059,2197,9466,11955,0.1837724801,0.7918025931,7269,60.80%,AL,Franklin County,31.16265112,0,AL,Franklin,8.4,Good,0
1061,1522,9967,11659,0.1305429282,0.8548760614,8445,72.43%,AL,Geneva County,36.75254591,0,AL,Geneva,1.8,Good,0
1063,4006,838,4862,0.8239407651,0.1723570547,3168,65.16%,AL,Greene County,-32.70024773,0,AL,Greene,0.2,Good,0
1065,4772,3172,8010,0.5957553059,0.3960049938,1600,19.98%,AL,Hale County,-10.07049345,0,AL,Hale,1.2,Good,0
1067,2286,5623,8017,0.2851440689,0.7013845578,3337,41.62%,AL,Henry County,21.0962195,0,AL,Henry,2.9,Good,0
1069,10547,30567,42030,0.2509398049,0.7272662384,20020,47.63%,AL,Houston County,24.34693778,2.3,AL,Houston,2.4,Good,0.04347826087
1071,3663,16643,20785,0.1762328602,0.8007216743,12980,62.45%,AL,Jackson County,31.96099675,0,AL,Jackson,2.2,Good,0
1073,151581,130614,290111,0.5224931147,0.4502207776,20967,7.23%,AL,Jefferson County,-3.714984319,4.4,AL,Jefferson,4.1,Good,0.06818181818
1075,1035,5819,6931,0.1493291011,0.8395613909,4784,69.02%,AL,Lamar County,34.89932886,0,AL,Lamar,0.6,Good,0
1077,9877,27735,38813,0.2544765929,0.7145801664,17858,46.01%,AL,Lauderdale County,23.73976391,1.6,AL,Lauderdale,2.1,Good,0.3125
1079,3611,10732,14623,0.2469397524,0.7339123299,7121,48.70%,AL,Lawrence County,24.82395594,0,AL,Lawrence,1,Good,0
1081,20987,34321,57668,0.3639280017,0.5951480891,13334,23.12%,AL,Lee County,12.05431402,5.9,AL,Lee,5.1,Good,0.1355932203
1083,9340,28824,39400,0.2370558376,0.7315736041,19484,49.45%,AL,Limestone County,25.52667435,4.6,AL,Limestone,4.3,Good,0.0652173913
1085,4882,1751,6676,0.7312762133,0.2622828041,3131,46.90%,AL,Lowndes County,-23.60168853,0,AL,Lowndes,0.2,Good,0
1087,7237,1394,8748,0.8272748057,0.1593507087,5843,66.79%,AL,Macon County,-33.8489167,0,AL,Macon,1.1,Good,0
1089,62435,89199,159473,0.3915082804,0.5593360632,26764,16.78%,AL,Madison County,8.825197515,5.5,AL,Madison,5.4,Good,0.01818181818
1091,5607,5224,10948,0.5121483376,0.477164779,383,3.50%,AL,Marengo County,-1.768073123,0,AL,Marengo,0.7,Good,0
1093,1432,11273,12912,0.1109045849,0.8730638166,9841,76.22%,AL,Marion County,38.72884691,0,AL,Marion,1,Good,0
1095,4913,29217,34965,0.1405119405,0.8356070356,24304,69.51%,AL,Marshall County,35.60503955,7.5,AL,Marshall,8,Good,0.06666666667
1097,68429,91087,163387,0.4188154504,0.5574923342,22658,13.87%,AL,Mobile County,7.102108879,3.2,AL,Mobile,3.2,Good,0
1099,4310,5771,10185,0.4231713304,0.5666175749,1461,14.34%,AL,Monroe County,7.24630493,0,AL,Monroe,0.9,Good,0
1101,58669,33928,94572,0.6203633211,0.3587531193,24741,26.16%,AL,Montgomery County,-13.35950409,4.4,AL,Montgomery,4.3,Good,0.02272727273
1103,11216,37392,49991,0.2243603849,0.7479746354,26176,52.36%,AL,Morgan County,26.92560895,4.9,AL,Morgan,5.1,Good,0.04081632653
1105,3823,1403,5255,0.7274976213,0.2669838249,2420,46.05%,AL,Perry County,-23.15346345,0,AL,Perry,0.5,Good,0
1107,3972,5454,9494,0.4183694965,0.5744680851,1482,15.61%,AL,Pickens County,7.861234882,0,AL,Pickens,0.3,Good,0
1109,5039,7681,13025,0.3868714012,0.5897120921,2642,20.28%,AL,Pike County,10.38522013,0,AL,Pike,4,Good,0
1111,2290,7697,10130,0.2260612043,0.75982231,5407,53.38%,AL,Randolph County,27.07019125,0,AL,Randolph,1.7,Good,0
1113,9577,9210,19136,0.5004703177,0.481291806,367,1.92%,AL,Russell County,-0.9767392346,0,AL,Russell,2.2,Good,0
1117,22927,72846,99208,0.2311003145,0.7342754617,49919,50.32%,AL,Shelby County,26.06110282,5.5,AL,Shelby,6,Good,0.09090909091
